# binned cylinder monitor
# nr=180 ny=90
# radius=1 yheight=5
# n_history=100000000
# columns: ix,iy,I,sigma
# phi in [-180, 180] deg
# y in [-2.5, 2.5] m
# hits_total=3528918 hits_in=3528918
# columns: ix,iy,I,sigma
0,0,8.92154744982e-10,1.60235743048e-10
1,0,6.04385891447e-10,1.31887835449e-10
2,0,1.03573610619e-09,1.7262272927e-10
3,0,8.91967440657e-10,1.60202121485e-10
4,0,8.91914286054e-10,1.60192565147e-10
5,0,7.19452030445e-10,1.43890431516e-10
6,0,1.00712201021e-09,1.70234719593e-10
7,0,5.75404655747e-10,1.28664416567e-10
8,0,6.61817266125e-10,1.37998466456e-10
9,0,9.49313756964e-10,1.65254376404e-10
10,0,8.92126662064e-10,1.602307053e-10
11,0,6.90526406682e-10,1.40953137839e-10
12,0,4.89069462639e-10,1.18616789923e-10
13,0,7.48038154025e-10,1.46702388026e-10
14,0,8.92015321322e-10,1.6021071735e-10
15,0,6.90643217157e-10,1.40976975993e-10
16,0,9.20780098376e-10,1.62772490336e-10
17,0,8.9187060551e-10,1.60184719391e-10
18,0,8.34580191882e-10,1.54977674602e-10
19,0,7.77031160509e-10,1.49539747875e-10
20,0,8.05304737929e-10,1.5218834038e-10
21,0,1.06479896309e-09,1.75051897102e-10
22,0,8.9189202945e-10,1.60188571401e-10
23,0,6.61961960263e-10,1.38028627842e-10
24,0,7.19379773223e-10,1.43875970306e-10
25,0,8.63270476137e-10,1.57610932614e-10
26,0,1.0073567194e-09,1.70274380765e-10
27,0,6.0417394121e-10,1.3184161707e-10
28,0,7.7693639386e-10,1.49521519343e-10
29,0,7.48078043828e-10,1.46710212619e-10
30,0,7.48059734766e-10,1.46706620618e-10
31,0,6.90464533061e-10,1.40940505137e-10
32,0,7.47900285168e-10,1.46675347161e-10
33,0,8.34363505892e-10,1.54937467339e-10
34,0,8.92171921936e-10,1.60238831572e-10
35,0,5.4675362827e-10,1.25433907265e-10
36,0,8.05723657285e-10,1.52267487538e-10
37,0,9.49521496754e-10,1.65290504709e-10
38,0,6.33085410751e-10,1.34974288048e-10
39,0,6.90636064561e-10,1.40975521478e-10
40,0,6.3304479965e-10,1.34965632323e-10
41,0,6.6180205539e-10,1.37995312412e-10
42,0,6.61761526798e-10,1.3798685515e-10
43,0,7.48028285018e-10,1.46700457956e-10
44,0,8.34274310626e-10,1.54920894043e-10
45,0,8.34231247292e-10,1.54912898949e-10
46,0,6.32992176992e-10,1.34954410562e-10
47,0,8.05665791816e-10,1.52256557387e-10
48,0,8.34310515943e-10,1.54927622435e-10
49,0,7.76885525431e-10,1.49511717239e-10
50,0,8.3427033332e-10,1.54920137184e-10
51,0,5.17915437105e-10,1.22073857116e-10
52,0,6.32973902163e-10,1.34950523365e-10
53,0,8.63103005189e-10,1.57580360933e-10
54,0,6.61892231701e-10,1.38014090472e-10
55,0,1.40989139225e-09,2.01413092289e-10
56,0,6.90440891112e-10,1.40935679937e-10
57,0,6.33102567891e-10,1.34977938106e-10
58,0,8.63018525282e-10,1.57564946637e-10
59,0,6.90586286752e-10,1.40965361442e-10
60,0,5.75558798678e-10,1.28698881164e-10
61,0,6.61488128544e-10,1.37929844984e-10
62,0,8.63207091625e-10,1.57599372818e-10
63,0,7.1938869006e-10,1.43877769469e-10
64,0,6.04253595258e-10,1.31858962299e-10
65,0,6.90589944248e-10,1.40966101349e-10
66,0,8.91871876959e-10,1.60184964665e-10
