# binned cylinder monitor
# nr=180 ny=90
# radius=1 yheight=5
# n_history=100000000
# columns: ix,iy,I,sigma
# phi in [-180, 180] deg
# y in [-2.5, 2.5] m
# hits_total=53720 hits_in=53720
# columns: ix,iy,I,sigma
0,0,0,0
1,0,8.63351979402e-11,4.98456560984e-11
2,0,0,0
3,0,0,0
4,0,2.87628286452e-11,2.87628286452e-11
5,0,2.87821863361e-11,2.87821863361e-11
6,0,5.74988019322e-11,4.06577947573e-11
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,2.87533264944e-11,2.87533264944e-11
12,0,2.87476029726e-11,2.87476029726e-11
13,0,0,0
14,0,0,0
15,0,2.87791405389e-11,2.87791405389e-11
16,0,0,0
17,0,0,0
18,0,0,0
19,0,2.87856227536e-11,2.87856227536e-11
20,0,0,0
21,0,0,0
22,0,5.75370866566e-11,4.06848770166e-11
23,0,0,0
24,0,2.87995739384e-11,2.87995739384e-11
25,0,0,0
26,0,2.87595753045e-11,2.87595753045e-11
27,0,5.75240342799e-11,4.06756373384e-11
28,0,0,0
29,0,0,0
30,0,0,0
31,0,2.8769819256e-11,2.8769819256e-11
32,0,5.75494135131e-11,4.06935805485e-11
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,2.87268281658e-11,2.87268281658e-11
40,0,0,0
41,0,0,0
42,0,2.87765463319e-11,2.87765463319e-11
43,0,0,0
44,0,2.87976223978e-11,2.87976223978e-11
45,0,0,0
46,0,2.87200317141e-11,2.87200317141e-11
47,0,0,0
48,0,0,0
49,0,2.87555441639e-11,2.87555441639e-11
50,0,2.87509632403e-11,2.87509632403e-11
51,0,2.87785328519e-11,2.87785328519e-11
52,0,0,0
53,0,0,0
54,0,2.87805568501e-11,2.87805568501e-11
55,0,5.75743301627e-11,4.07112014717e-11
56,0,0,0
57,0,0,0
58,0,2.87702822603e-11,2.87702822603e-11
59,0,2.87593326271e-11,2.87593326271e-11
60,0,0,0
61,0,5.75766727569e-11,4.07128575779e-11
62,0,5.75279757801e-11,4.06784365689e-11
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,2.87579096573e-11,2.87579096573e-11
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,2.87436785204e-11,2.87436785204e-11
76,0,2.87669794782e-11,2.87669794782e-11
77,0,0,0
78,0,0,0
79,0,5.75679380618e-11,4.07066841643e-11
80,0,0,0
81,0,0,0
82,0,0,0
83,0,2.8761406828e-11,2.8761406828e-11
84,0,0,0
85,0,2.87971946121e-11,2.87971946121e-11
86,0,2.87759616256e-11,2.87759616256e-11
87,0,5.75084219893e-11,4.0664601233e-11
88,0,0,0
89,0,0,0
90,0,2.87560630201e-11,2.87560630201e-11
91,0,0,0
92,0,2.87811498274e-11,2.87811498274e-11
93,0,2.87646107734e-11,2.87646107734e-11
94,0,0,0
95,0,0,0
96,0,0,0
97,0,2.87958053318e-11,2.87958053318e-11
98,0,0,0
99,0,2.87973151273e-11,2.87973151273e-11
100,0,0,0
101,0,5.75905324153e-11,4.07226563507e-11
102,0,5.74980255516e-11,4.06572874909e-11
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,5.7579078004e-11,4.07145577519e-11
108,0,0,0
109,0,2.87902928828e-11,2.87902928828e-11
110,0,2.87990796498e-11,2.87990796498e-11
111,0,5.75673295253e-11,4.07062544482e-11
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,2.87822207018e-11,2.87822207018e-11
120,0,0,0
121,0,2.87900931764e-11,2.87900931764e-11
122,0,0,0
123,0,0,0
124,0,2.87831580362e-11,2.87831580362e-11
125,0,0,0
126,0,0,0
127,0,0,0
128,0,2.87719291042e-11,2.87719291042e-11
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,5.75133996087e-11,4.06681409588e-11
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,2.87410446966e-11,2.87410446966e-11
140,0,0,0
