# binned cylinder monitor
# nr=180 ny=90
# radius=1 yheight=5
# n_history=10000000000
# columns: ix,iy,I,sigma
# phi in [-180, 180] deg
# y in [-2.5, 2.5] m
# hits_total=401326964 hits_in=401326964
# columns: ix,iy,I,sigma
0,0,8.86529231118e-10,1.59715588699e-11
1,0,8.90261927129e-10,1.60050761346e-11
2,0,9.27650798719e-10,1.63375563096e-11
3,0,9.04076415223e-10,1.61288032926e-11
4,0,8.9773887695e-10,1.60721075687e-11
5,0,8.96871386514e-10,1.606430215e-11
6,0,8.93139017053e-10,1.60309145566e-11
7,0,8.95152803581e-10,1.60489736842e-11
8,0,9.09245479665e-10,1.61747548105e-11
9,0,8.90834533761e-10,1.60101965965e-11
10,0,8.69833524486e-10,1.58203891708e-11
11,0,9.05478711547e-10,1.61409825529e-11
12,0,8.7240909467e-10,1.58436660355e-11
13,0,8.92828717259e-10,1.60279272082e-11
14,0,8.75291347126e-10,1.58698610606e-11
15,0,8.83344235143e-10,1.59426637844e-11
16,0,8.79044510962e-10,1.59039627931e-11
17,0,8.72413613603e-10,1.58437480754e-11
18,0,8.91106556766e-10,1.60124996828e-11
19,0,8.75864267094e-10,1.58750310355e-11
20,0,8.88515807265e-10,1.59891953482e-11
21,0,8.97163927961e-10,1.60669647683e-11
22,0,8.97738911336e-10,1.6072108221e-11
23,0,8.7097628789e-10,1.5830703643e-11
24,0,8.83060408204e-10,1.59401374828e-11
25,0,8.84172360563e-10,1.59498189908e-11
26,0,8.46516878786e-10,1.56068186189e-11
27,0,8.43349494937e-10,1.55775723209e-11
28,0,8.4335798948e-10,1.55777290608e-11
29,0,8.32407896794e-10,1.54761194051e-11
30,0,8.67251903472e-10,1.57969676874e-11
31,0,8.59758357728e-10,1.57284600015e-11
32,0,8.26646250816e-10,1.54224007931e-11
33,0,8.4336310151e-10,1.55778236304e-11
34,0,8.43062776051e-10,1.55749335222e-11
35,0,8.57460573205e-10,1.57074657823e-11
36,0,8.51995472992e-10,1.56573469451e-11
37,0,8.54011031617e-10,1.56758689357e-11
38,0,8.38748608004e-10,1.55350490355e-11
39,0,8.24938247512e-10,1.54066310335e-11
40,0,8.28685926631e-10,1.54416538241e-11
41,0,8.23205011848e-10,1.53903741385e-11
42,0,8.24076521899e-10,1.53985962188e-11
43,0,8.3356439968e-10,1.54869182716e-11
44,0,8.56010143308e-10,1.5694067713e-11
45,0,8.27528041827e-10,1.54307976325e-11
46,0,8.04488634826e-10,1.5214280919e-11
47,0,8.53983378157e-10,1.56753615106e-11
48,0,8.21779608454e-10,1.5377167685e-11
49,0,8.15164343505e-10,1.53151756052e-11
50,0,7.95303798658e-10,1.51273945278e-11
51,0,8.26096005476e-10,1.54175022173e-11
52,0,8.10261998184e-10,1.52689524558e-11
53,0,8.10832777001e-10,1.52742853538e-11
54,0,8.07094705689e-10,1.52390592889e-11
55,0,8.10843405941e-10,1.52744853592e-11
56,0,8.38162568746e-10,1.5529522906e-11
57,0,8.08240270993e-10,1.52498199036e-11
58,0,8.01343958679e-10,1.51847085867e-11
59,0,7.82362629361e-10,1.50038802916e-11
60,0,8.07077690019e-10,1.52387383276e-11
61,0,8.09125835254e-10,1.52583826994e-11
62,0,7.99619123429e-10,1.51683728457e-11
63,0,8.09681522544e-10,1.526343485e-11
64,0,7.88388115787e-10,1.50613840484e-11
65,0,7.76318839083e-10,1.49458027272e-11
66,0,7.75737522032e-10,1.49401496875e-11
67,0,7.86378023401e-10,1.50422101068e-11
68,0,8.16009150542e-10,1.53229369414e-11
69,0,7.97021808615e-10,1.51436449107e-11
70,0,8.02785112604e-10,1.51983800557e-11
71,0,7.90397974271e-10,1.50805292862e-11
72,0,7.90686898948e-10,1.50832967794e-11
73,0,7.78883430965e-10,1.49702288051e-11
74,0,7.53862745671e-10,1.47279307994e-11
75,0,8.01047049102e-10,1.5181808398e-11
76,0,7.66535039187e-10,1.48513180826e-11
77,0,7.63639490177e-10,1.48230650427e-11
78,0,7.68821056448e-10,1.48732931787e-11
79,0,7.99617095275e-10,1.51683343908e-11
80,0,7.69116091872e-10,1.48762173785e-11
81,0,7.80039049984e-10,1.49813753482e-11
82,0,8.01064151377e-10,1.51821323342e-11
83,0,7.76885168093e-10,1.49511652327e-11
84,0,7.59907693539e-10,1.47868864384e-11
85,0,7.76890552587e-10,1.4951268871e-11
86,0,7.74285137336e-10,1.49260251876e-11
87,0,7.55880798219e-10,1.47476686282e-11
88,0,7.65657787808e-10,1.48426814199e-11
89,0,7.74586068918e-10,1.49290528321e-11
90,0,7.71126166996e-10,1.48956047138e-11
91,0,7.9012758959e-10,1.50781150128e-11
92,0,8.14572242651e-10,1.53094563815e-11
93,0,7.93281059654e-10,1.51080632874e-11
94,0,7.70280046681e-10,1.48875954384e-11
95,0,7.84083899189e-10,1.50203267341e-11
96,0,7.82045792756e-10,1.50005630053e-11
97,0,7.67954062663e-10,1.48648677262e-11
98,0,7.67947486172e-10,1.48647406325e-11
99,0,7.55585998049e-10,1.47447237806e-11
100,0,7.7084272326e-10,1.48929083394e-11
101,0,7.74289157068e-10,1.4926102665e-11
102,0,7.70253964739e-10,1.488709157e-11
103,0,7.7631904259e-10,1.49458068515e-11
104,0,7.7286105163e-10,1.49124332827e-11
105,0,7.74005101652e-10,1.49233998618e-11
106,0,8.12272572946e-10,1.52878510935e-11
107,0,7.50979558501e-10,1.46996825708e-11
108,0,7.68827901461e-10,1.48734255243e-11
109,0,7.80034950542e-10,1.49812966612e-11
110,0,7.94434543737e-10,1.5119067668e-11
111,0,7.92405588123e-10,1.50996077036e-11
112,0,8.01321593733e-10,1.51842848649e-11
113,0,7.80903449627e-10,1.49896852515e-11
114,0,8.07094981393e-10,1.52390647082e-11
115,0,8.04233549049e-10,1.52121772196e-11
116,0,8.11407662112e-10,1.5279693572e-11
117,0,8.1112557148e-10,1.52770904539e-11
118,0,8.02204070713e-10,1.51928263859e-11
119,0,7.92701518914e-10,1.51025049754e-11
120,0,7.94441901102e-10,1.51192076606e-11
121,0,7.92129961332e-10,1.50970963793e-11
122,0,8.1542955621e-10,1.53174553792e-11
123,0,7.94715121426e-10,1.51216693319e-11
124,0,8.39865793155e-10,1.55450794046e-11
125,0,8.36441276369e-10,1.55136159786e-11
126,0,8.26075942138e-10,1.5417127918e-11
127,0,8.30396318313e-10,1.54574319877e-11
128,0,8.18619292605e-10,1.53476162646e-11
129,0,7.95018398486e-10,1.51247022889e-11
130,0,8.18302151235e-10,1.53443674657e-11
131,0,8.2465215651e-10,1.54039749561e-11
132,0,8.20054450751e-10,1.53610306126e-11
133,0,7.93853113566e-10,1.51134773963e-11
134,0,8.23486579832e-10,1.53929481021e-11
135,0,8.11421496565e-10,1.52799541262e-11
136,0,8.3788857339e-10,1.55271117986e-11
137,0,8.35581872854e-10,1.55056793114e-11
138,0,8.45083036369e-10,1.55936401199e-11
139,0,8.4162488468e-10,1.55616531319e-11
140,0,8.56291222344e-10,1.56965832374e-11
141,0,8.36182696885e-10,1.5511488008e-11
142,0,8.36151365284e-10,1.55109070825e-11
143,0,8.45667510731e-10,1.55991145605e-11
