# binned cylinder monitor
# nr=180 ny=90
# radius=1 yheight=5
# n_history=10000000000
# columns: ix,iy,I,sigma
# phi in [-180, 180] deg
# y in [-2.5, 2.5] m
# hits_total=92128 hits_in=92128
# columns: ix,iy,I,sigma
0,0,0,0
1,0,2.87870736854e-13,2.87870736854e-13
2,0,0,0
3,0,0,0
4,0,2.87853598725e-13,2.87853598725e-13
5,0,0,0
6,0,0,0
7,0,0,0
8,0,2.87914218677e-13,2.87914218677e-13
9,0,0,0
10,0,2.87667382302e-13,2.87667382302e-13
11,0,5.75277844317e-13,4.06782865109e-13
12,0,2.87879590839e-13,2.87879590839e-13
13,0,2.87538525526e-13,2.87538525526e-13
14,0,2.87534146473e-13,2.87534146473e-13
15,0,2.87749172125e-13,2.87749172125e-13
16,0,5.7542500243e-13,4.06886947525e-13
17,0,0,0
18,0,0,0
19,0,2.87873001523e-13,2.87873001523e-13
20,0,0,0
21,0,2.87827722568e-13,2.87827722568e-13
22,0,0,0
23,0,5.75752042485e-13,4.07118176356e-13
24,0,2.87766293388e-13,2.87766293388e-13
25,0,0,0
26,0,0,0
27,0,0,0
28,0,2.87293666824e-13,2.87293666824e-13
29,0,2.87802392348e-13,2.87802392348e-13
30,0,2.87969702799e-13,2.87969702799e-13
31,0,2.87828795466e-13,2.87828795466e-13
32,0,0,0
33,0,0,0
34,0,0,0
35,0,2.87424739004e-13,2.87424739004e-13
36,0,2.87802775958e-13,2.87802775958e-13
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,2.87814935472e-13,2.87814935472e-13
42,0,2.87974785938e-13,2.87974785938e-13
43,0,2.87715436038e-13,2.87715436038e-13
44,0,2.87361690533e-13,2.87361690533e-13
45,0,2.8771534968e-13,2.8771534968e-13
46,0,0,0
47,0,0,0
48,0,0,0
49,0,2.87905124471e-13,2.87905124471e-13
50,0,0,0
51,0,0,0
52,0,0,0
53,0,8.63012889256e-13,4.98260786583e-13
54,0,5.75900299851e-13,4.0722301165e-13
55,0,0,0
56,0,0,0
57,0,0,0
58,0,2.87713790413e-13,2.87713790413e-13
59,0,0,0
60,0,0,0
61,0,0,0
62,0,2.87483724348e-13,2.87483724348e-13
63,0,0,0
64,0,0,0
65,0,2.87873960139e-13,2.87873960139e-13
66,0,0,0
67,0,2.87801975029e-13,2.87801975029e-13
68,0,5.75353196612e-13,4.06836197739e-13
69,0,2.87398856704e-13,2.87398856704e-13
70,0,0,0
71,0,0,0
72,0,2.87994896156e-13,2.87994896156e-13
73,0,2.87813581695e-13,2.87813581695e-13
74,0,2.87799632971e-13,2.87799632971e-13
75,0,0,0
76,0,0,0
77,0,2.87931041819e-13,2.87931041819e-13
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
