# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator:  3.5.32, git
# Instrument: cylinder.instr
# Ncount: 1250000000
# Trace: no
# Gravitation: no
# Seed: 1777018736163886
# Directory: 0p5to1p5_r5mmh5cm_bathed_nomono_1e10/7
# Nodes: 8
# Param: lambda0=4
# Param: dlambda=0.1
# Param: cylinder_radius=0.005
# Param: cylinder_height=0.05
# Param: thickness=0.00085
# Param: margin=0.005
# Date: Fri Apr 24 10:24:13 2026 (1777019053)
# type: array_2d(180, 90)
# Source: hollow_cylinder (cylinder.instr)
# component: mon_4pi
# position: 0 0 0
# title: 4PI PSD monitor
# Ncount: 10000000000
# filename: cylinder_scattered.dat
# statistics: X0=-0.000154072; dX=15.0291; Y0=1.00002; dY=5.51348;
# signal: Min=125.629; Max=2.91612e+10; Mean=6.94403e+06;
# values: 1.12493e+11 1.15984e+06 1e+10
# xvar: Lo
# yvar: La
# xlabel: Longitude [deg]
# ylabel: Latitude [deg]
# zvar: I
# zlabel: Signal per bin
# xylimits: -180 180 -90 90
# variables: I I_err N
# Data [mon_4pi/cylinder_scattered.dat] I:
206.3036878 228.5317679 153.5385387 151.0901646 217.6151138 199.7741859 221.8899019 165.9371395 200.6461616 229.4254601 202.2361474 167.574324 196.0226255 259.3530373 212.2280177 217.9252737 206.1488793 245.8277559 233.5189404 233.3987133 172.5220304 239.8329572 164.742936 218.7609822 159.9521465 195.3198008 160.2803916 209.7604065 168.7915897 225.4663144 203.1218262 228.837421 212.4777325 205.5703811 162.9145438 238.0735054 192.3785311 206.9136814 228.4359179 167.9654401 195.2326168 164.7454332 198.0844205 180.15037 198.4574262 155.4528257 190.4886999 145.5303727 216.6816858 228.1720755 222.2276208 195.0642059 210.0799321 222.6334168 217.5542545 230.0244295 173.3596384 198.4850736 178.5058271 217.4218709 180.0139322 228.5842833 151.9327182 176.2360633 188.0132448 225.0527563 221.0797301 217.8599159 178.9727919 228.8134328 184.7454596 216.7739705 217.0989041 179.7555147 229.9389299 260.2013648 209.7901839 180.5921991 226.1285089 197.4921674 169.2538719 200.5064539 213.8048796 218.1934283 263.8415544 212.1032667 214.0096134 203.2100014 222.5095544 210.9408012 229.171283 221.9395488 204.059251 184.2934785 218.3710388 192.6241499 186.8836967 280.6939516 237.2290281 219.5743322 258.4659387 174.2669289 160.7517977 244.7227315 198.7982315 186.3173309 190.8513647 189.1586064 191.6042124 198.9188205 188.9906606 163.4805532 229.1407295 196.2144903 165.2964296 265.9192816 247.4625242 241.7379027 194.1784946 224.3111489 196.8652081 248.8553274 166.7431537 220.0692208 186.8324005 201.8100892 234.2574822 181.5535193 193.0395582 209.027491 188.1472626 180.8566191 210.269536 159.653006 195.887262 155.7886273 227.2393846 170.2699423 235.5407522 125.6291835 274.6968747 226.5459237 200.8510782 201.2732494 152.3702816 210.4836757 249.9763461 202.1189808 166.3242818 188.3028425 199.89253 210.9261141 214.7231814 186.5880631 222.2006396 185.4793826 181.3895224 272.6902116 199.0171508 227.9017396 170.1475534 177.2322768 164.7042873 216.097827 196.8491733 235.1399173 248.5172958 222.8749225 178.934166 215.323201 233.3788603 216.5613873 189.3871703 226.6315265 230.5451536 219.3269426 220.5736017 192.6992358 217.0272718 250.6668139 
2687.282713 2675.523892 2776.888423 2692.58655 2907.28981 2667.778081 2528.453253 2836.63098 2771.887069 2787.013074 2677.939569 2692.96454 2735.238446 2691.662665 2671.79304 2476.244867 2685.121079 2672.380831 2526.307791 2722.103962 2676.930623 2376.656771 2684.238421 2750.74235 2641.518576 2580.226912 2569.432682 2558.831598 2709.960815 2757.297663 2635.202323 2403.854802 2542.621957 2506.407503 2591.458464 2704.44322 2609.858624 2761.342132 2580.179013 2384.420867 2454.233588 2515.353788 2504.700769 2418.520743 2609.732926 2594.079722 2712.820879 2564.867521 2481.036248 2637.00417 2689.124299 2615.86945 2517.931268 2730.921518 2444.980743 2414.336361 2515.521185 2725.065211 2571.397639 2662.01459 2567.658184 2631.17723 2656.268139 2436.09382 2424.657039 2703.431626 2548.656871 2570.305023 2519.423452 2417.452497 2456.508995 2454.830039 2641.746548 2412.356238 2433.473001 2528.764339 2544.217379 2460.749092 2619.007007 2596.578647 2567.857477 2669.874023 2502.033141 2460.087115 2424.53177 2541.726223 2617.588141 2669.187798 2557.491959 2740.273985 2675.621777 2535.742906 2532.857643 2505.468502 2582.824937 2591.127095 2562.513491 2773.210649 2559.492006 2516.133796 2539.269169 2465.803657 2630.641491 2531.333331 2527.214713 2542.115999 2595.386533 2599.463651 2814.58264 2537.874874 2594.449861 2704.908855 2424.743648 2460.961004 2461.867817 2518.606262 2548.447472 2489.675523 2721.842833 2613.403437 2373.774063 2903.750973 2619.788309 2445.761798 2617.101409 2585.906086 2680.400341 2480.472761 2678.451036 2662.832438 2530.388179 2742.578251 2574.517036 2612.989425 2672.402613 2698.757859 2714.52506 2637.340379 2514.04204 2668.80117 2543.978685 2551.180338 2597.574788 2545.710282 2604.723235 2682.04078 2712.71038 2685.856702 2741.896772 2704.760857 2601.33467 2567.434439 2740.523217 2614.970114 2642.758359 2520.302348 2705.169187 2741.989768 2677.460987 2542.981289 2714.896517 2553.348645 2565.435844 2639.204473 2635.788182 2453.85603 2516.30272 2595.587007 2811.18733 2958.368947 2694.758667 2681.782346 2761.132527 2828.38791 2510.924435 2706.576609 2646.342913 2745.39197 2831.563576 2844.076049 
7653.179556 7686.936504 7756.474468 7669.897189 7580.536208 7438.795809 7473.18867 7519.666642 7734.718147 7646.512766 7330.319476 7384.467793 7706.580703 7386.015792 7546.738239 7718.867732 7686.899396 7015.105761 7644.866763 7552.557429 7055.616511 7416.993885 7359.293125 7423.292333 7444.660743 7710.693721 7352.241997 7213.8272 7449.332048 7350.667805 6955.528278 7200.349589 7246.263368 6999.128563 7074.249942 6892.253611 7381.515336 7270.532848 7204.559546 7048.560761 7266.469305 6922.482511 7252.332882 7186.299702 7385.919242 7243.901848 7137.974524 7243.122517 7298.059195 6864.168155 7244.814038 6797.132032 7213.064568 6988.909626 7130.892046 7124.706931 7040.779047 6945.079622 7135.736842 7314.288233 7019.561603 7033.056511 7202.737771 7241.138653 7192.431721 7366.933303 7418.802116 6998.508156 7267.435919 7021.05775 7416.270076 7060.001407 7282.878005 7237.6803 7250.609511 7635.369039 7260.135012 7303.845431 7308.852302 7263.519085 7180.209132 6958.040343 7334.226368 7552.340986 7435.703766 7067.806092 7360.093563 7268.130155 7291.034428 7130.137878 6940.069247 7290.469449 7113.954293 7021.933959 7376.763484 7245.957983 7057.039754 7218.92621 7403.952446 7071.878395 7405.446603 7160.516838 7218.986521 7360.230038 7521.010142 6925.438599 7238.465338 7190.922182 6997.786707 7080.143419 6920.795803 7062.276788 7268.013425 7445.935659 7179.84312 7165.687401 7020.814988 6929.562282 7249.857523 7033.705284 7369.593787 7057.45521 7151.298244 7205.631408 7200.628774 6974.717868 7211.322906 7138.608753 7268.966317 7059.742015 7183.975355 7110.771268 7214.518418 6923.034528 6847.895104 7062.281599 7397.82393 7203.915142 7009.186004 7186.334708 7176.829521 7182.120392 7302.535971 7355.180492 7417.951367 7249.640361 7345.984118 7363.992159 7108.254275 7382.133247 7179.329217 7298.682586 7110.275061 7336.21579 7304.595524 7252.815462 7455.017879 7093.160929 7284.471848 7370.396031 7298.013224 7520.365535 7616.346665 7504.343695 7613.689241 7595.762602 7592.725304 7409.440702 7340.763008 7636.780783 7392.08854 7705.10365 7889.761792 7423.378602 7797.181044 7897.676733 7920.614795 7696.225154 7528.66785 7712.25113 
14387.00812 13980.9473 14056.77215 13458.40365 14062.4811 13931.38881 14332.37048 14174.55082 13422.34094 13569.16479 13473.93264 14008.59287 13957.42652 13810.12354 13371.19871 13507.73811 14053.513 13431.70111 13563.59838 13488.72286 13505.67484 13265.91476 13247.79353 13622.03796 13170.56423 13497.61351 13162.7751 13406.70601 13413.60666 13438.14081 13558.72075 13211.44838 12900.98675 13323.36414 13324.84795 12827.44068 12951.96136 13418.1658 12871.29849 12878.05056 13426.77835 13131.41156 13202.07232 13168.28569 12990.79385 12969.86077 13211.50109 12884.93327 12927.07323 12970.79225 13359.83779 13326.90579 12749.43019 13094.53927 13256.59516 13409.94077 13503.19641 13305.85302 13182.80824 13219.66412 12940.34144 12987.52616 13310.53523 13103.20133 12587.22682 12699.7576 13179.71695 12978.09378 13142.16219 13168.02618 13574.42506 12848.11823 13422.9083 13166.34643 12927.35367 13143.91675 13240.677 13664.72028 12893.31808 12998.51067 13183.70047 13194.12509 13287.95811 13367.4296 12666.1658 13117.38632 13006.35551 13140.83216 13220.52243 12888.82752 12910.8575 12978.8723 12916.77057 13031.89304 12776.36485 13013.91124 13092.53647 13472.88947 13330.8166 13092.41769 13065.66261 12851.08252 12784.35796 13329.44458 12823.7046 13391.74975 12847.99294 13604.89203 13126.64284 12959.8275 13308.93184 12987.97127 12751.08612 13054.85924 13133.12224 13256.44083 13189.08394 12739.25539 12734.07042 13093.6401 12693.91673 12914.07916 13423.28862 13249.77551 13036.81445 12821.50436 13201.65202 12807.49752 12808.40195 13151.89393 13171.26165 12802.35007 13148.55116 13096.73986 12725.40667 12633.30783 13080.99071 13064.33318 13162.76824 13313.3816 13379.37399 13078.18949 13573.00921 13212.87703 13138.67343 13461.11994 13093.10328 12821.67391 13437.04781 13493.42127 13306.21783 13028.13798 13325.96279 13193.85316 13528.95664 13392.60558 13115.48923 13539.50077 13267.60735 13016.82361 13392.76074 13631.09552 14046.3693 13385.93492 13838.52592 13531.97377 13580.48677 13801.7199 13544.58375 13812.62052 13612.06283 13928.33688 13856.61759 14116.18297 13770.57769 14188.36718 14028.14862 14145.81708 14045.51918 13567.48155 
20809.08514 20292.97257 20830.76091 20771.03568 20702.47786 20987.41689 20920.3863 20924.30452 20672.02564 20661.55279 20419.26603 20587.6808 19809.33515 20551.08683 20567.25461 19996.18102 20535.68055 20246.39132 20315.37995 19720.84313 19837.1472 20187.55876 19788.58813 19880.45757 20022.84695 19961.38654 19687.19152 20055.49166 19474.13897 19847.54301 19325.0227 19740.1632 19293.13879 20166.17838 19918.66457 19827.36186 19909.85096 19648.18324 19155.725 19910.31125 19541.12692 19234.48331 19212.51356 19716.86212 19138.02747 19109.25109 19477.9538 19275.40101 19207.44666 19516.57585 19703.47812 19237.13386 19695.44905 19194.60736 19138.02954 19386.90639 19748.6577 19910.11039 19424.14127 19715.97967 19378.88334 19865.57616 20011.05889 19568.89131 19294.33767 19783.93484 19571.34488 19684.3227 19518.18979 19358.85948 19786.42977 19687.31472 19489.76976 19732.99199 19704.7295 19428.67788 20303.84413 19517.18586 19491.27331 19506.68856 19772.17239 19312.77633 19436.02574 19085.41404 19315.34519 20608.87342 19693.45792 19597.58082 19671.0257 19733.45085 19663.17953 19549.22164 19641.35869 19660.87027 19500.57151 20065.65806 19478.91193 20207.86326 19364.91421 20094.23451 19776.22034 20022.17224 19825.82902 19890.6784 19670.01467 20110.9305 19785.6312 19496.29879 19933.53839 19340.13154 19674.45624 19400.54255 19736.48629 20283.31538 19543.66668 19836.07865 19295.96519 19324.59795 20492.0362 20420.92779 19143.01704 19513.97949 18906.77277 19887.89574 19303.33684 19510.01705 19689.7555 19646.75232 19125.68051 19493.39591 19053.1507 18696.70018 19326.79783 18871.23685 19711.82692 19313.38859 19778.09421 19578.88369 18850.50902 19440.81057 19611.95524 19570.30048 19856.19114 19221.05087 19819.96704 19678.26655 19510.21378 19183.10984 18894.03413 19712.74067 20037.35814 20052.86316 19909.16137 19707.77181 20110.20322 20361.61239 19819.09817 20033.01947 20160.51457 20148.37169 20671.53817 20431.28174 19871.30342 20315.36122 19995.91988 20339.94647 20158.18597 20601.8563 21114.92429 20208.27257 20202.32309 20458.6138 20910.03837 20888.98831 21017.36682 20797.26163 20890.63982 20762.74971 20784.85281 21052.07988 
28147.94217 28505.756 28700.82993 27963.87891 27550.39209 28088.05781 27060.06133 27895.85639 27980.02982 27583.30639 27970.39954 27509.26164 27894.30387 28106.07183 27423.42883 27321.22738 27003.91032 26857.939 27171.08666 27198.45775 26731.35297 26950.44356 26676.5522 27023.12467 26630.5403 26924.20903 26220.36847 26886.08193 27051.67811 27108.18563 27092.35357 26789.84383 26721.58394 26710.10386 26623.68024 26466.57114 26230.5047 25839.40489 25941.38415 26853.36286 26137.50318 26004.07668 26685.02557 25730.09681 26566.69547 26666.75962 26107.75239 26303.77619 26551.70805 26185.38948 26343.37706 26305.68825 25731.7325 25869.1465 26742.3239 26096.2649 25695.97374 26578.28042 26271.31327 26061.15898 26106.65615 27027.34363 25857.62568 26942.58857 25781.97317 26071.75017 26405.13312 26102.27167 26407.12793 26375.3848 26790.27429 27162.77247 26466.36452 26891.34897 26523.4496 27183.8895 25812.36979 26518.39445 26577.7291 26336.66354 26079.55111 26355.32934 26467.42441 25784.99456 26317.44738 26542.72908 26006.65262 26125.14419 26722.89159 26336.09465 26699.70828 26517.10032 26134.16202 26712.536 26464.30781 26066.65001 26416.57817 26799.31496 26259.12138 26046.22168 26539.83911 26990.80159 26857.29748 26764.47564 26311.92774 27018.06817 26192.82686 27067.65127 26453.91978 26482.76168 26772.93429 26847.35984 26318.7336 26401.13887 26257.59088 26115.65143 26796.94335 26381.65264 26192.0652 26556.49524 26655.98901 26591.14298 26574.66 26028.09647 26200.79177 25552.26122 26852.39338 26150.83042 26698.56725 26316.68921 26150.3122 25930.20474 26476.3641 26845.4962 26313.36979 26360.47735 26204.17917 25945.55459 25966.31753 26382.43625 26952.12679 26391.59901 26087.58583 26467.72279 26137.71759 26333.33747 26587.09522 26848.919 26736.72807 26327.29801 26313.1263 26483.77879 26141.30761 27229.82668 26980.6445 26679.47128 27110.34816 26852.4816 27095.57441 26816.34081 27039.28265 27545.61718 27094.34075 27351.45785 27200.95366 27555.63186 27823.05332 27320.25203 27358.33908 28095.29642 27382.84048 28351.58551 27842.83224 27500.79205 27765.1337 28052.90062 28080.87809 27957.08421 28001.52075 27621.43621 
35341.5788 36295.26133 35783.47268 35260.57287 35161.97009 35614.15635 35753.44947 34635.78663 35719.19094 35661.95278 34431.6624 35081.80824 34648.50083 34215.84009 34443.94071 34255.30945 34490.44377 34126.23463 34209.35146 33813.66267 34474.9981 33797.60471 34222.79641 33745.00348 33250.33 34015.83035 33550.60898 33413.59507 33458.63219 33755.15982 33485.54118 33220.87103 32816.83012 33553.06379 33769.25726 33372.43684 33527.85812 32677.79873 33974.39173 33181.67447 33199.34489 32904.14154 33360.36865 32874.95303 33621.86867 32402.00343 33434.74258 32960.17932 33493.87965 32863.82625 32994.76587 33310.85159 32745.565 32615.61914 32194.87871 31923.11744 33027.3223 33221.80767 32507.6401 33447.70437 32815.45057 33193.75671 33700.15938 33912.41843 32964.66227 32902.45099 33293.67074 33281.34148 33294.79595 33379.32121 33950.97592 33312.64045 33894.57301 33509.59841 33394.92282 32274.24886 33823.55597 33227.29731 33031.97199 33170.87868 33032.68872 33734.6261 33334.63855 33023.30746 33081.86235 33631.95963 33141.59062 33009.81094 32595.92409 33133.25378 33234.49575 33175.55707 32907.21293 33392.35124 33149.74466 33136.54008 33189.25094 33144.53837 33085.73956 33335.11803 33667.71553 33210.17145 33006.40185 32760.34819 33386.24447 33093.90853 33309.92725 33477.0836 33280.68658 33451.18127 33329.00686 33211.6221 32902.69742 33279.96056 33388.39391 33217.58177 33455.67397 33160.448 32851.56637 32809.11484 34119.96407 33265.7592 33150.14929 33050.28884 33374.83221 33069.1607 32701.53404 32603.05589 32797.27478 33320.86931 33209.26815 33205.58963 33097.18779 32707.27972 33089.17113 32605.3392 32811.97898 33273.77868 33187.65165 32918.74413 32880.47916 32981.08206 33624.19943 33033.63261 33902.82633 33746.34588 32270.4921 33582.43428 33054.47744 33631.67438 33446.53688 33132.80712 33453.246 33524.02001 33644.29281 34138.49274 33699.59428 33712.44327 33963.13013 34270.89356 34205.25792 34441.60847 33900.15383 33818.90699 34931.52611 34939.33214 34362.83858 34761.38658 35312.88931 34133.56377 35253.93221 34935.53468 34888.10632 35320.3387 35590.40653 35639.85685 35214.94197 34799.00187 34804.00214 35777.64636 
43112.44588 42652.35614 42059.05674 43158.44835 42686.31291 42568.33552 42630.42711 42532.05779 42482.2564 42702.96358 42603.08945 42271.27485 42228.23891 41949.25691 40992.47168 41317.26918 41019.1701 41550.62211 41465.31304 41478.29705 41333.42846 41236.92352 40816.01804 40808.4584 40557.88861 40810.01201 40767.92053 41076.82962 40908.51038 41105.38068 40486.25216 41104.58845 40859.916 40125.64098 39959.61653 40681.69527 40616.95511 40415.58148 40096.57832 39985.26077 40103.70732 40703.38154 39518.86597 39925.8226 39718.87223 40088.1851 39782.95849 40885.34844 40015.12208 40328.11376 39848.3846 39861.46771 39904.29193 40331.56642 39668.78216 40518.87816 40028.32683 39863.14834 39679.29082 40252.47056 40314.09082 39788.77626 39633.7418 40018.58942 40753.2171 40478.58368 40668.52667 40164.74404 40436.82012 40515.79124 40873.75368 41191.63877 40451.23913 40267.27637 40279.78977 40702.0001 40958.26637 40232.56271 39831.60659 40618.92669 40588.93084 40556.52314 40122.39846 39931.71699 40134.85126 40066.62784 39997.82567 40752.95548 40346.36987 39991.62279 40540.12156 40567.17035 39629.94693 39716.48711 40416.20812 41260.8661 39301.8321 39599.09044 39822.38479 39672.2114 40924.97162 40789.72242 40579.41181 40020.77304 39998.98769 40437.6027 41129.47127 40185.65219 39942.40176 40234.97558 40765.47108 40452.56486 40486.81439 39845.43695 39746.00142 40731.87387 40137.15741 40285.84498 40093.2882 40439.95047 40847.4477 39819.17574 39047.58659 40416.30671 40566.8089 39775.38329 40382.13473 40072.84094 40201.46927 40464.50485 40257.86681 40169.49402 40054.30575 40250.63346 39931.02329 39985.15366 40397.45279 40168.53985 40345.49842 40278.61214 41424.30173 39505.07634 40195.72678 40156.3003 39950.51157 40719.87493 40482.92007 40455.09722 40608.67065 40040.07842 40729.54844 40421.94887 40606.45642 40799.89151 40198.30183 41005.28181 41217.85311 40546.89386 41682.19072 40909.43077 41390.11263 40825.97261 41260.90845 41533.30391 41631.99072 41434.86011 42398.02414 42115.93596 42455.78206 41888.22782 41874.53542 41546.05281 42650.50165 42449.40837 42082.08012 42503.07883 41963.69673 42554.06783 42665.95839 42366.01243 
51113.23885 50341.58434 50600.89717 50866.80257 50051.96023 49850.76853 49488.41929 49160.96581 50282.02857 49763.22007 49419.05855 49683.96923 48789.282 50403.44224 48897.68984 49459.37802 48942.11932 48387.62658 49159.55794 48210.09484 48778.40776 48565.42707 48236.37169 48009.05338 48386.08796 47768.997 47738.36822 48019.50612 47422.44859 48285.0769 47559.67166 47466.9908 48506.95609 46914.70066 48177.95972 47470.97848 47469.30658 47998.03049 47588.24467 47340.63175 47693.05007 47009.42998 47395.81778 47850.38209 47458.01053 47500.004 46918.80098 47887.38147 47565.59423 47758.77118 47745.38374 47794.31754 47343.59481 47411.89576 47613.68517 47722.79988 47830.67409 47436.25867 47360.6518 48113.27296 47598.3174 47477.50711 47472.50036 47191.85762 47797.44616 48332.7311 47752.90439 47352.26306 47263.26249 47285.12506 47526.32106 47953.73654 47024.19115 47462.42274 46649.89012 47333.72183 47429.32602 46701.23316 47108.94577 47419.52584 47391.0918 46680.38622 47288.19874 47861.78989 47586.88146 47418.22416 47641.82795 48047.71593 47540.08819 47528.73029 47377.17662 47555.10351 47536.24472 47312.12735 46380.51096 46865.23059 47623.22384 47343.44609 47418.26481 47227.82309 47336.39992 47583.36709 48139.10182 46792.17873 47731.63676 46675.5612 47151.4527 47314.64171 47981.14772 48335.35872 48163.79869 48302.19687 48089.47305 47704.94609 47770.46527 48711.10747 48261.94136 47496.03828 46680.33913 47748.54385 46883.73639 47512.56611 47464.19713 47423.81187 46959.13156 47437.73927 47421.95431 46781.27824 47072.95207 46733.53836 47831.29284 47314.42075 48140.32017 46942.8707 47045.82916 48208.89017 47753.14962 47078.70305 47208.93548 47470.09375 47376.93439 47182.03269 47456.81541 47954.74467 47491.86548 47166.65402 47082.24173 47660.25046 47327.12547 48473.97941 47713.70374 47965.82549 48510.33576 47872.52348 48593.95181 47971.92983 47507.36507 48306.47997 48353.63745 48439.21878 49517.79788 49060.18281 48788.2085 49155.08394 48886.82661 49637.70584 48870.02359 49328.47363 49654.64866 49686.57476 50285.07797 49980.12664 50160.59907 50563.94229 50310.34391 50112.35193 49425.33771 49694.01849 50158.04844 49475.67934 
57559.7893 58209.73879 58028.42357 57734.18328 57669.12721 57840.89534 58138.70232 58410.9982 57674.94626 57445.63554 56678.48469 56847.71503 56097.64103 56250.08528 56495.63639 57751.71704 56392.74732 56300.60362 56633.94486 56039.69261 55899.08192 56328.94187 56453.56165 55089.58026 56145.90898 55636.689 56388.53337 54563.51073 55170.86419 55259.38211 55594.31251 55376.36285 55836.16186 53955.45527 54966.70676 55609.19537 55016.48505 54489.02156 55438.63881 55496.28136 54976.68288 54897.25034 55096.60048 54937.88339 55878.96613 54610.12555 54797.06973 54086.24267 55092.12523 54455.17979 54952.50766 54845.82299 55236.55986 55399.21321 55692.13158 54840.63295 54906.77298 55034.05317 55678.92559 56202.01189 54880.3201 55641.78309 54656.30384 54776.94249 54718.11004 54548.948 56504.97979 54679.09243 55216.6794 55533.39867 54513.31757 55637.35786 55183.58389 55462.76291 54985.24607 55203.31164 55598.0656 55209.54544 55074.10839 55547.27753 54446.71091 54320.54058 54760.25037 54827.47083 54373.76429 54836.86994 54175.94763 55128.0479 54214.98385 55348.04896 54532.62868 54547.55985 54871.60619 55103.07497 55293.53312 54449.6151 54749.03123 54279.84359 55256.75051 54068.18806 54997.93312 55447.34074 55155.78556 54737.40532 55654.63209 55008.76093 55170.11628 54834.3675 53964.32703 54409.21221 55289.40767 55082.67655 55184.25046 55147.24109 55387.53457 55495.59499 55301.49201 54628.56171 55464.0851 54853.02969 54877.55853 55180.67221 55313.3395 55172.3402 55867.54577 55228.61952 55082.81768 55028.31243 54489.82671 54511.14103 55490.82289 54897.84028 55226.36248 55057.34853 54418.0285 55300.76031 54289.17843 55446.72867 55437.40784 54730.58959 55024.18236 55024.5343 55349.11624 54672.07397 55404.30839 55284.30635 55678.06778 55014.92856 55534.51412 55603.22094 55843.09785 54524.17466 55644.67529 56381.3112 55719.1141 56214.96895 55856.94714 56381.17247 56057.44131 56496.7169 56738.00773 56651.33939 56292.71198 56026.32281 56694.56453 57134.88534 56787.09333 57285.75079 58369.08626 56880.00064 57476.14832 57794.30312 57431.94937 57669.64353 58001.3117 58535.74399 57708.60281 58056.2803 58811.72618 58371.54217 
