# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator:  3.6.14, git
# Instrument: sphere_monitor.instr
# Ncount: 1250000000
# Trace: no
# Gravitation: no
# Seed: 1782302313933011
# Directory: HS_4pisrc_to_cylmon_1e10
# Nodes: 8
# Date: Wed Jun 24 14:04:54 2026 (1782302694)
# type: array_1d(180)
# Source: sphere_validate (sphere_monitor.instr)
# component: cyl_mon
# position: 0 0 0
# title: Cylindrical monitor
# Ncount: 10000000000
# filename: HS_srcsimple_to_cylmon.dat
# statistics: X0=-0.000495042; dX=103.921;
# signal: Min=4.62082e+11; Max=4.6243e+11; Mean=4.62254e+11;
# values: 8.32056e+13 9.12171e+08 8.32056e+09
# xvar: Theta
# yvar: (I,I_err)
# xlabel: radial position [deg]
# ylabel: Intensity
# xlimits: -180 180
# variables: Theta I I_err N
-179 4.622157e+11 67986447.18 46221570 
-177 4.6221586e+11 67986458.95 46221586 
-175 4.6219596e+11 67984995.4 46219596 
-173 4.6220266e+11 67985488.16 46220266 
-171 4.6226348e+11 67989961.02 46226348 
-169 4.6222453e+11 67987096.57 46222453 
-167 4.6226128e+11 67989799.23 46226128 
-165 4.623202e+11 67994132.1 46232020 
-163 4.6219224e+11 67984721.81 46219224 
-161 4.6223499e+11 67987865.83 46223499 
-159 4.6228939e+11 67991866.43 46228939 
-157 4.62205e+11 67985660.25 46220500 
-155 4.6221539e+11 67986424.38 46221539 
-153 4.6216818e+11 67982952.27 46216818 
-151 4.6235167e+11 67996446.23 46235167 
-149 4.6227671e+11 67990933.95 46227671 
-147 4.6219158e+11 67984673.27 46219158 
-145 4.6231638e+11 67993851.19 46231638 
-143 4.6233978e+11 67995571.91 46233978 
-141 4.6229431e+11 67992228.23 46229431 
-139 4.6224994e+11 67988965.28 46224994 
-137 4.6214949e+11 67981577.65 46214949 
-135 4.6224704e+11 67988752.01 46224704 
-133 4.6229047e+11 67991945.85 46229047 
-131 4.6230297e+11 67992865.07 46230297 
-129 4.6237535e+11 67998187.48 46237535 
-127 4.6224076e+11 67988290.17 46224076 
-125 4.6225558e+11 67989380.05 46225558 
-123 4.6219327e+11 67984797.57 46219327 
-121 4.6242997e+11 68002203.64 46242997 
-119 4.6229682e+11 67992412.81 46229682 
-117 4.6217785e+11 67983663.48 46217785 
-115 4.6217618e+11 67983540.66 46217618 
-113 4.6234071e+11 67995640.3 46234071 
-111 4.6223866e+11 67988135.73 46223866 
-109 4.6238652e+11 67999008.82 46238652 
-107 4.6228763e+11 67991737 46228763 
-105 4.6215158e+11 67981731.37 46215158 
-103 4.6233211e+11 67995007.9 46233211 
-101 4.6224104e+11 67988310.76 46224104 
-99 4.6223788e+11 67988078.37 46223788 
-97 4.620972e+11 67977731.65 46209720 
-95 4.6222272e+11 67986963.46 46222272 
-93 4.6212279e+11 67979613.86 46212279 
-91 4.6236764e+11 67997620.55 46236764 
-89 4.6208239e+11 67976642.31 46208239 
-87 4.6238676e+11 67999026.46 46238676 
-85 4.6221042e+11 67986058.87 46221042 
-83 4.6224599e+11 67988674.79 46224599 
-81 4.6221408e+11 67986328.04 46221408 
-79 4.6217423e+11 67983397.24 46217423 
-77 4.6227953e+11 67991141.33 46227953 
-75 4.6231972e+11 67994096.8 46231972 
-73 4.6231371e+11 67993654.85 46231371 
-71 4.6240309e+11 68000227.21 46240309 
-69 4.6229053e+11 67991950.26 46229053 
-67 4.6223717e+11 67988026.15 46223717 
-65 4.6222445e+11 67987090.69 46222445 
-63 4.622434e+11 67988484.32 46224340 
-61 4.6220152e+11 67985404.32 46220152 
-59 4.6226961e+11 67990411.82 46226961 
-57 4.6223831e+11 67988109.99 46223831 
-55 4.6221681e+11 67986528.81 46221681 
-53 4.622924e+11 67992087.77 46229240 
-51 4.6219047e+11 67984591.64 46219047 
-49 4.622217e+11 67986888.44 46222170 
-47 4.6236216e+11 67997217.59 46236216 
-45 4.6226371e+11 67989977.94 46226371 
-43 4.6217837e+11 67983701.72 46217837 
-41 4.6217103e+11 67983161.89 46217103 
-39 4.6222758e+11 67987320.88 46222758 
-37 4.6225798e+11 67989556.55 46225798 
-35 4.6242823e+11 68002075.7 46242823 
-33 4.6226139e+11 67989807.32 46226139 
-31 4.6229545e+11 67992312.07 46229545 
-29 4.6229661e+11 67992397.37 46229661 
-27 4.6217469e+11 67983431.07 46217469 
-25 4.6219954e+11 67985258.7 46219954 
-23 4.622937e+11 67992183.37 46229370 
-21 4.6239948e+11 67999961.76 46239948 
-19 4.6222456e+11 67987098.78 46222456 
-17 4.6227149e+11 67990550.08 46227149 
-15 4.6229442e+11 67992236.32 46229442 
-13 4.6216894e+11 67983008.17 46216894 
-11 4.6221134e+11 67986126.53 46221134 
-9 4.6230826e+11 67993254.08 46230826 
-7 4.6225137e+11 67989070.45 46225137 
-5 4.6217405e+11 67983384 46217405 
-3 4.622019e+11 67985432.26 46220190 
-1 4.621573e+11 67982152.07 46215730 
1 4.6238319e+11 67998763.96 46238319 
3 4.6223505e+11 67987870.24 46223505 
5 4.6219449e+11 67984887.29 46219449 
7 4.6226586e+11 67990136.05 46226586 
9 4.6227063e+11 67990486.83 46227063 
11 4.6229518e+11 67992292.21 46229518 
13 4.6220253e+11 67985478.6 46220253 
15 4.6225464e+11 67989310.92 46225464 
17 4.6231874e+11 67994024.74 46231874 
19 4.6227363e+11 67990707.45 46227363 
