hit_x,hit_y,hit_z,theta,phi,weight,lambda
0.066087,0.058876,0.010000,0.066878,-2.083826,1.000000,4.835213
-0.044156,-0.049006,0.010000,0.061381,1.058161,1.000000,5.099129
0.075907,0.121649,0.010000,0.082837,-2.261234,1.000000,5.063330
-0.010501,0.025677,0.010000,0.034296,-1.134693,1.000000,4.793617
-0.060731,0.031826,0.010000,0.031010,0.285922,1.000000,4.822074
-0.082939,-0.064045,0.010000,0.093205,0.884070,1.000000,4.802019
-0.015387,0.097772,0.010000,0.044304,-1.313788,1.000000,4.944730
-0.086617,0.041133,0.010000,0.070834,-0.204183,1.000000,5.170195
-0.025033,-0.068601,0.010000,0.058343,1.322224,1.000000,4.868710
0.025953,0.087709,0.010000,0.059446,-1.822067,1.000000,5.085526
-0.053734,0.069846,0.010000,0.044409,-0.608854,1.000000,4.824914
-0.113503,0.046119,0.010000,0.066651,-0.209304,1.000000,4.897229
0.083185,-0.087510,0.010000,0.112651,2.189356,1.000000,4.809349
-0.090403,0.022386,0.010000,0.067986,-0.369722,1.000000,4.906821
-0.094102,0.070737,0.010000,0.060037,-0.470963,1.000000,4.777465
0.103375,0.085180,0.010000,0.107172,-2.343664,1.000000,5.162175
-0.040934,-0.027059,0.010000,0.049827,1.253342,1.000000,5.050727
-0.094328,0.040495,0.010000,0.065323,-0.648424,1.000000,5.075600
0.065315,0.079903,0.010000,0.057759,-2.736354,1.000000,5.209400
0.121513,0.083679,0.010000,0.082924,-2.594436,1.000000,4.888967
-0.015861,-0.051224,0.010000,0.053246,1.535359,1.000000,4.877348
0.123417,-0.116154,0.010000,0.112488,2.479773,1.000000,4.898907
0.055105,0.007521,0.010000,0.046320,-2.697434,1.000000,4.843196
0.075161,0.037020,0.010000,0.042939,3.122884,1.000000,5.186326
0.078608,-0.015353,0.010000,0.064621,2.738934,1.000000,4.917684
0.006305,0.084636,0.010000,0.088959,-1.527816,1.000000,5.080440
0.105005,-0.079923,0.010000,0.085498,2.478934,1.000000,4.933507
-0.045741,0.075098,0.010000,0.069084,-0.981474,1.000000,4.932550
0.093899,0.009640,0.010000,0.056817,2.957168,1.000000,5.137847
-0.069094,0.083709,0.010000,0.080580,-0.866104,1.000000,5.103402
-0.018730,-0.030790,0.010000,0.016301,1.109084,1.000000,5.136960
-0.115374,0.005884,0.010000,0.069351,0.261963,1.000000,5.210940
0.042638,0.083881,0.010000,0.061622,-2.092815,1.000000,5.096992
-0.052675,0.078809,0.010000,0.060123,-0.989106,1.000000,5.123055
-0.040370,-0.078669,0.010000,0.073387,1.200912,1.000000,4.971013
-0.105707,0.046930,0.010000,0.072875,-0.457095,1.000000,4.945516
-0.120404,-0.053692,0.010000,0.081950,0.192396,1.000000,4.970639
-0.043236,0.054234,0.010000,0.023633,-0.241733,1.000000,5.144137
0.090364,0.078599,0.010000,0.073055,-2.292783,1.000000,5.168013
0.014076,0.047501,0.010000,0.034759,-2.250312,1.000000,4.995913
0.054827,0.118349,0.010000,0.054533,-2.096796,1.000000,5.219791
0.104415,-0.117245,0.010000,0.095587,2.302930,1.000000,4.760922
-0.016870,-0.108603,0.010000,0.060091,1.309064,1.000000,4.791507
-0.094483,0.013831,0.010000,0.064342,-0.211249,1.000000,4.839953
0.031617,0.071661,0.010000,0.055599,-2.142570,1.000000,4.995799
-0.096281,-0.063190,0.010000,0.062391,0.536354,1.000000,5.043333
0.075288,0.121162,0.010000,0.104097,-1.969371,1.000000,5.000382
-0.029029,-0.063944,0.010000,0.042612,1.384271,1.000000,5.243420
0.010989,-0.109715,0.010000,0.047040,1.875051,1.000000,4.895517
-0.124845,-0.037964,0.010000,0.093431,0.613100,1.000000,5.093989
-0.065473,0.028147,0.010000,0.064114,-0.482663,1.000000,5.002954
-0.107449,-0.071591,0.010000,0.094765,0.668606,1.000000,5.194551
0.072541,0.097310,0.010000,0.085107,-2.023833,1.000000,5.140601
-0.015546,0.020941,0.010000,0.024263,0.681472,1.000000,5.136404
-0.013155,0.041126,0.010000,0.039010,-1.238507,1.000000,5.184208
0.057093,0.068453,0.010000,0.052299,-2.359208,1.000000,4.922166
0.043534,0.119026,0.010000,0.072588,-1.832544,1.000000,5.041707
0.107292,-0.003308,0.010000,0.064852,-2.918558,1.000000,5.208037
0.100580,0.008105,0.010000,0.065464,2.872154,1.000000,4.770132
-0.119859,0.095175,0.010000,0.105302,-0.511622,1.000000,4.815675
-0.082281,-0.123011,0.010000,0.101326,0.861554,1.000000,5.153696
-0.096089,-0.120388,0.010000,0.119315,0.863492,1.000000,4.821910
0.056176,0.099598,0.010000,0.059763,-2.129015,1.000000,5.081003
0.018536,0.008744,0.010000,0.019303,1.594267,1.000000,5.092307
-0.029262,-0.124825,0.010000,0.055771,1.330113,1.000000,5.157257
0.120579,-0.116680,0.010000,0.124555,2.257118,1.000000,4.839228
0.084581,-0.110620,0.010000,0.121043,2.072371,1.000000,5.207356
-0.072839,0.021627,0.010000,0.070675,-0.579515,1.000000,4.764371
0.109451,-0.054873,0.010000,0.091997,2.626255,1.000000,5.193454
0.066502,-0.069223,0.010000,0.067469,2.140296,1.000000,4.934846
0.096296,-0.051914,0.010000,0.064607,2.560874,1.000000,4.795200
-0.052203,-0.035220,0.010000,0.060936,0.789976,1.000000,4.855396
0.110021,0.024203,0.010000,0.092557,-2.787536,1.000000,4.781446
0.066775,-0.012323,0.010000,0.057734,-2.773307,1.000000,4.940358
0.064310,0.111152,0.010000,0.102727,-2.110858,1.000000,4.840583
0.010386,0.082630,0.010000,0.089333,-1.800304,1.000000,5.170181
-0.119752,0.105971,0.010000,0.123988,-0.983436,1.000000,5.178190
-0.096021,-0.062153,0.010000,0.077494,0.661547,1.000000,5.221464
-0.029950,0.039980,0.010000,0.036641,-0.475235,1.000000,4.800256
-0.088459,-0.072508,0.010000,0.089100,0.756873,1.000000,4.940392
0.088400,-0.095993,0.010000,0.087797,2.432837,1.000000,4.932586
0.095625,-0.019295,0.010000,0.052169,3.071848,1.000000,4.973350
-0.088465,-0.113537,0.010000,0.096451,0.944528,1.000000,4.845235
0.101025,0.108421,0.010000,0.123105,-2.204900,1.000000,5.121039
0.094730,-0.017308,0.010000,0.083888,2.669272,1.000000,5.086944
0.035050,0.009468,0.010000,0.035537,-2.598071,1.000000,5.069083
0.103619,-0.020093,0.010000,0.063345,3.090941,1.000000,4.839654
0.056896,0.084244,0.010000,0.073500,-2.335900,1.000000,4.886271
-0.056269,-0.057674,0.010000,0.082895,0.946186,1.000000,5.103193
0.099904,-0.113253,0.010000,0.134318,2.201784,1.000000,4.952555
-0.099691,0.063377,0.010000,0.089201,-0.638938,1.000000,4.946534
-0.086937,0.109053,0.010000,0.076460,-0.880259,1.000000,5.160273
0.091455,0.120923,0.010000,0.087257,-2.443183,1.000000,5.118946
-0.059791,0.078939,0.010000,0.042666,-0.792556,1.000000,4.845610
-0.021432,-0.082870,0.010000,0.062381,1.358291,1.000000,5.092337
-0.016008,0.003318,0.010000,0.029417,0.918617,1.000000,4.996976
0.103071,-0.007065,0.010000,0.066500,2.870215,1.000000,5.040404
0.060103,-0.060494,0.010000,0.073300,2.005365,1.000000,5.145424
0.092301,-0.095746,0.010000,0.108315,2.067267,1.000000,4.770079
0.098359,0.025437,0.010000,0.076718,-2.718819,1.000000,4.889425
0.091028,0.051355,0.010000,0.064620,-2.537009,1.000000,5.117283
-0.096446,-0.025292,0.010000,0.076730,-0.013646,1.000000,5.230670
-0.081709,0.057154,0.010000,0.086053,-0.809732,1.000000,4.789569
0.033477,-0.091111,0.010000,0.066437,2.075186,1.000000,4.851770
0.059437,0.069808,0.010000,0.059832,-2.298687,1.000000,4.947265
0.002131,0.038483,0.010000,0.040424,-1.775355,1.000000,4.879239
0.053621,-0.013073,0.010000,0.041303,-2.555845,1.000000,5.142743
-0.011234,-0.032598,0.010000,0.051197,1.642210,1.000000,5.121490
0.037661,0.104207,0.010000,0.085539,-1.736264,1.000000,4.890333
0.084639,0.082271,0.010000,0.095098,-2.319844,1.000000,4.838845
-0.005373,0.012689,0.010000,0.018433,-0.616323,1.000000,5.005928
-0.067789,-0.018453,0.010000,0.040814,-0.132319,1.000000,5.180811
0.054236,0.053716,0.010000,0.071387,-2.197054,1.000000,5.001671
-0.053840,-0.113293,0.010000,0.084871,1.281179,1.000000,5.228183
-0.038489,-0.078538,0.010000,0.045646,1.248088,1.000000,5.159930
-0.020557,-0.014747,0.010000,0.010006,1.294993,1.000000,5.220049
-0.091432,0.121110,0.010000,0.093898,-0.818314,1.000000,4.877677
0.042050,0.110760,0.010000,0.093615,-1.993142,1.000000,4.876228
0.057323,-0.020407,0.010000,0.026822,-3.095354,1.000000,5.101225
-0.048720,0.089131,0.010000,0.050249,-0.591113,1.000000,5.202415
0.105769,0.083079,0.010000,0.079699,-2.512968,1.000000,5.012885
0.044782,0.018564,0.010000,0.020068,-2.896452,1.000000,4.942463
-0.088774,0.064003,0.010000,0.052446,-0.313752,1.000000,4.872392
-0.101641,0.066232,0.010000,0.087446,-0.830121,1.000000,5.181570
-0.108382,-0.114519,0.010000,0.108860,0.850413,1.000000,5.145768
