# binned sphere monitor
# nx=360 ny=180
# n_history=1000000000
# columns: ix,iy,I
# phi in [-180, 180] deg
# theta in [-90, 90] deg
# hits_total=901532 hits_in=901532
# columns: ix,iy,I
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,1.17799924204e-12
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1.17808464234e-12
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,1.17778234102e-12
20,0,0
21,0,0
22,0,0
23,0,1.17755921185e-12
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,1.17808871625e-12
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,1.17777365969e-12
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,1.17798044633e-12
51,0,0
52,0,0
53,0,0
54,0,1.17784492504e-12
55,0,0
56,0,1.17782685394e-12
57,0,0
58,0,1.17785415398e-12
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,1.17806824666e-12
74,0,1.17738927981e-12
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,1.17758090898e-12
81,0,0
82,0,0
83,0,1.17750953273e-12
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,1.17782405534e-12
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,1.17803175132e-12
117,0,0
118,0,1.17795040947e-12
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,1.17801619481e-12
134,0,0
135,0,1.1778636575e-12
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,1.17800440686e-12
153,0,0
154,0,0
155,0,0
156,0,1.17791635033e-12
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,1.17796878754e-12
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,2.35585516302e-12
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,1.17796208928e-12
224,0,1.1773737732e-12
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,1.17802603466e-12
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,1.17806783803e-12
259,0,0
260,0,0
261,0,0
262,0,1.17749271669e-12
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,1.1780012506e-12
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,1.17773122654e-12
301,0,0
302,0,0
303,0,0
304,0,1.17787158912e-12
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,1.17785365141e-12
312,0,0
313,0,0
314,0,1.17764097266e-12
315,0,0
316,0,0
317,0,0
318,0,1.17800513399e-12
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,1.17762603052e-12
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,1.17782488356e-12
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,1.17802553798e-12
354,0,0
355,0,0
356,0,1.17799892136e-12
357,0,0
358,0,0
359,0,0
0,1,0
1,1,0
2,1,2.35567317437e-12
3,1,0
4,1,0
5,1,1.17761196e-12
6,1,0
7,1,0
8,1,1.17803920453e-12
9,1,1.17751256141e-12
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,3.53403864127e-12
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1.17797183665e-12
22,1,2.355565531e-12
23,1,1.17802775095e-12
24,1,1.17798381584e-12
25,1,2.35587511621e-12
26,1,0
27,1,0
28,1,1.17808060066e-12
29,1,1.1779772904e-12
30,1,0
31,1,0
32,1,2.35574959076e-12
33,1,0
34,1,0
35,1,0
36,1,0
37,1,1.17748925068e-12
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,1.17795480967e-12
44,1,0
45,1,1.17756558943e-12
46,1,0
47,1,0
48,1,0
49,1,1.17781023675e-12
50,1,0
51,1,0
52,1,1.17780086414e-12
53,1,0
54,1,1.17784210729e-12
55,1,0
56,1,0
57,1,1.17782458003e-12
58,1,0
59,1,1.17802705206e-12
60,1,0
61,1,1.17755737602e-12
62,1,1.17764689457e-12
63,1,0
64,1,0
65,1,1.17799548933e-12
66,1,0
67,1,0
68,1,0
69,1,0
70,1,1.17741807161e-12
71,1,1.17757778735e-12
72,1,1.17796792825e-12
73,1,1.17768546281e-12
74,1,1.17738666781e-12
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,1.17794581488e-12
82,1,0
83,1,1.1778224705e-12
84,1,0
85,1,1.17790851149e-12
86,1,0
87,1,0
88,1,1.17794466936e-12
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,2.35546120016e-12
95,1,0
96,1,1.17805682207e-12
97,1,0
98,1,0
