# binned sphere monitor
# nx=180 ny=90
# n_history=100000000000
# columns: ix,iy,I,sigma
# phi in [-180, 180] deg
# theta in [-90, 90] deg
# hits_total=10898883375 hits_in=10898883375
# columns: ix,iy,I,sigma
0,0,2.90765153123e-10,2.02703805615e-12
1,0,2.85410793833e-10,2.0082925701e-12
2,0,2.90992187199e-10,2.02783252581e-12
3,0,2.87260909984e-10,2.0147874018e-12
4,0,2.86257784185e-10,2.01126715939e-12
5,0,2.87995317702e-10,2.01735978055e-12
6,0,2.88024279592e-10,2.01746366445e-12
7,0,2.92009333545e-10,2.03137244661e-12
8,0,2.87388360494e-10,2.01523525275e-12
9,0,2.88420275797e-10,2.01885118068e-12
10,0,2.91784077506e-10,2.0305917341e-12
11,0,2.87940364576e-10,2.01717280653e-12
12,0,2.88307396459e-10,2.01845668271e-12
13,0,2.90610363292e-10,2.02650071769e-12
14,0,2.88519085817e-10,2.01919658799e-12
15,0,2.87276798235e-10,2.01484928133e-12
16,0,2.87812141201e-10,2.01671997425e-12
17,0,2.87725931933e-10,2.01641293644e-12
18,0,2.91458284954e-10,2.0294550991e-12
19,0,2.87147938455e-10,2.01439145983e-12
20,0,2.8888601008e-10,2.02047842432e-12
21,0,2.88080823535e-10,2.01766174998e-12
22,0,2.88646432641e-10,2.01964273584e-12
23,0,2.89762347714e-10,2.02354136249e-12
24,0,2.89338303326e-10,2.02205980435e-12
25,0,2.89635264124e-10,2.02309791443e-12
26,0,2.93633907735e-10,2.0370134862e-12
27,0,2.896209063e-10,2.02304698061e-12
28,0,2.90866238929e-10,2.02739793113e-12
29,0,2.90059488251e-10,2.02457996516e-12
30,0,2.87218780312e-10,2.01464058034e-12
31,0,2.88065453314e-10,2.01760358724e-12
32,0,2.8721906007e-10,2.01464254058e-12
33,0,2.89041219698e-10,2.02102030246e-12
34,0,2.90893569629e-10,2.02748993065e-12
35,0,2.87599643645e-10,2.0159734932e-12
36,0,2.8892873588e-10,2.02062899296e-12
37,0,2.87388278184e-10,2.01523467421e-12
38,0,2.90044426631e-10,2.02452415416e-12
39,0,2.87473726697e-10,2.01553656074e-12
40,0,2.89650567143e-10,2.0231554503e-12
41,0,2.92193199294e-10,2.0320124314e-12
42,0,2.87685861482e-10,2.01628066024e-12
43,0,2.8915449167e-10,2.02141704686e-12
44,0,2.86851811382e-10,2.01335471362e-12
45,0,2.90327385377e-10,2.02551261064e-12
46,0,2.90284532258e-10,2.02536151659e-12
47,0,2.90695921418e-10,2.02680168755e-12
48,0,2.89593632291e-10,2.0229551724e-12
49,0,2.85890577669e-10,2.00997746224e-12
50,0,2.87925986184e-10,2.01712157839e-12
51,0,2.87443673861e-10,2.01542493018e-12
52,0,2.89637220089e-10,2.0231115762e-12
53,0,2.88461795251e-10,2.01899342938e-12
54,0,2.88208211675e-10,2.01810852383e-12
55,0,2.8696418188e-10,2.01374664303e-12
56,0,2.88052284786e-10,2.01756084103e-12
57,0,2.87317595651e-10,2.01498674631e-12
58,0,2.915147757e-10,2.02965164475e-12
59,0,2.88716738331e-10,2.01988745449e-12
60,0,2.89719853771e-10,2.0233926291e-12
61,0,2.87220499508e-10,2.01465263745e-12
62,0,2.85919024595e-10,2.01007810845e-12
63,0,2.86314098396e-10,2.01146424151e-12
64,0,2.89550218429e-10,2.02279997042e-12
65,0,2.88236358303e-10,2.0182066593e-12
66,0,2.91359006844e-10,2.02910817844e-12
67,0,2.87543708895e-10,2.01577951185e-12
68,0,2.90157794457e-10,2.02492088043e-12
69,0,2.86202013772e-10,2.01107387779e-12
70,0,2.88702054985e-10,2.0198341616e-12
71,0,2.90243718071e-10,2.02522463898e-12
72,0,2.87769745964e-10,2.01657143261e-12
73,0,2.87007349491e-10,2.01390081105e-12
74,0,2.87727391374e-10,2.01642316205e-12
75,0,2.8904149713e-10,2.02102224337e-12
76,0,2.89818440571e-10,2.02373570435e-12
77,0,2.86878964222e-10,2.01344610844e-12
78,0,2.86329230272e-10,2.01152090955e-12
79,0,2.88277659574e-10,2.01834742361e-12
80,0,2.85919305462e-10,2.01008008277e-12
81,0,2.89861189907e-10,2.02388619343e-12
82,0,2.89013522386e-10,2.02092544421e-12
83,0,2.87939805951e-10,2.01716889461e-12
84,0,2.87924988683e-10,2.01711459042e-12
85,0,2.86046490744e-10,2.01052711556e-12
86,0,2.89522723536e-10,2.0227066103e-12
87,0,2.87571426957e-10,2.01587475833e-12
88,0,2.87091548294e-10,2.01419413169e-12
89,0,2.86215634595e-10,2.01111993924e-12
90,0,2.91330936167e-10,2.0290110973e-12
91,0,2.89691780431e-10,2.02329525658e-12
92,0,2.86711606497e-10,2.01286650774e-12
93,0,2.89719954835e-10,2.02339333377e-12
94,0,2.84817051661e-10,2.00620175532e-12
95,0,2.91542608197e-10,2.02974703646e-12
96,0,2.88646036152e-10,2.01963996131e-12
97,0,2.86709657931e-10,2.01285283109e-12
98,0,2.9181182499e-10,2.03068648932e-12
99,0,2.87882394774e-10,2.01696468539e-12
100,0,2.87614538439e-10,2.01602837264e-12
101,0,2.84392551412e-10,2.0047041707e-12
102,0,2.88025524753e-10,2.01747238368e-12
103,0,2.89055331839e-10,2.0210695732e-12
104,0,2.88461966192e-10,2.01899462403e-12
105,0,2.89111792761e-10,2.0212667258e-12
106,0,2.88107888998e-10,2.01775233647e-12
107,0,2.88746332169e-10,2.01999562734e-12
108,0,2.88406211069e-10,2.01880218959e-12
109,0,2.89409335205e-10,2.02230930675e-12
110,0,2.88462834002e-10,2.01900069875e-12
111,0,2.89014365345e-10,2.02093133784e-12
112,0,2.86045965751e-10,2.01052342683e-12
113,0,2.87276424007e-10,2.0148466548e-12
114,0,2.87994967576e-10,2.01735732939e-12
115,0,2.89338356041e-10,2.02206017308e-12
116,0,2.88816001157e-10,2.02023585146e-12
117,0,2.87558658899e-10,2.01583478117e-12
118,0,2.87713986084e-10,2.01637873122e-12
119,0,2.90582723419e-10,2.02640651364e-12
120,0,2.88392210632e-10,2.01875364534e-12
