# binned sphere monitor
# nx=180 ny=90
# n_history=100000000000
# columns: ix,iy,I,sigma
# phi in [-180, 180] deg
# theta in [-90, 90] deg
# hits_total=193049784 hits_in=193049784
# columns: ix,iy,I,sigma
0,0,5.49694185059e-12,2.78706028249e-13
1,0,5.45456171339e-12,2.7762989581e-13
2,0,5.42620327867e-12,2.76904791948e-13
3,0,4.95999775551e-12,2.64745106974e-13
4,0,5.6103309379e-12,2.8157444948e-13
5,0,5.14384088581e-12,2.69610532903e-13
6,0,4.8753677987e-12,2.62480990143e-13
7,0,5.85029271209e-12,2.87526213634e-13
8,0,5.28504790795e-12,2.7328333425e-13
9,0,4.8187134787e-12,2.60947977577e-13
10,0,4.77639699321e-12,2.59801759206e-13
11,0,5.39811697106e-12,2.76191703572e-13
12,0,6.16131392484e-12,2.95073435102e-13
13,0,5.12959971379e-12,2.69234177466e-13
14,0,5.51125944152e-12,2.79073482598e-13
15,0,5.12966335158e-12,2.69237513879e-13
16,0,4.832924702e-12,2.61334649306e-13
17,0,5.11556727306e-12,2.6886826045e-13
18,0,5.42654296107e-12,2.76922123037e-13
19,0,5.17198655175e-12,2.70344081297e-13
20,0,5.08733887381e-12,2.68126312643e-13
21,0,5.17205692858e-12,2.70347760142e-13
22,0,5.83622996036e-12,2.87182116476e-13
23,0,5.41242388396e-12,2.76561952962e-13
24,0,5.72328130246e-12,2.84392146972e-13
25,0,5.29933859267e-12,2.73656680661e-13
26,0,5.48290850239e-12,2.78352520125e-13
27,0,5.35573235602e-12,2.75105504796e-13
28,0,5.70907867028e-12,2.84037294824e-13
29,0,5.4121554494e-12,2.76548237509e-13
30,0,5.41238883867e-12,2.76560164152e-13
31,0,5.32747763663e-12,2.74379070656e-13
32,0,5.53935027014e-12,2.79779453703e-13
33,0,5.41220777576e-12,2.76550913639e-13
34,0,5.31342172409e-12,2.74018814226e-13
35,0,5.17214572226e-12,2.7035239916e-13
36,0,5.55368416826e-12,2.80146320647e-13
37,0,4.96006508246e-12,2.64748701443e-13
38,0,5.28505939121e-12,2.73283926598e-13
39,0,5.46869202671e-12,2.77989252425e-13
40,0,5.25685786803e-12,2.72555396193e-13
41,0,5.79380661908e-12,2.86135727231e-13
42,0,5.85037313158e-12,2.87530166618e-13
43,0,5.35565948146e-12,2.75101762214e-13
44,0,5.61015403672e-12,2.81565573415e-13
45,0,5.75135292124e-12,2.85083994223e-13
46,0,5.10141993839e-12,2.68495799015e-13
47,0,5.61022409469e-12,2.81569088367e-13
48,0,5.58183857478e-12,2.80852791849e-13
49,0,5.46884488049e-12,2.77997020699e-13
50,0,5.10127976918e-12,2.6848842343e-13
51,0,4.63507572747e-12,2.55929255608e-13
52,0,5.72335733697e-12,2.8439592498e-13
53,0,5.3980559865e-12,2.76188585913e-13
54,0,5.2709996319e-12,2.72922028112e-13
55,0,5.32743296407e-12,2.74376771357e-13
56,0,5.60998644564e-12,2.81557161491e-13
57,0,5.07328863918e-12,2.67757943994e-13
58,0,5.20034440962e-12,2.7108670336e-13
59,0,5.41221967332e-12,2.76551519972e-13
60,0,5.18625708034e-12,2.70720428359e-13
61,0,5.18627368688e-12,2.70721294603e-13
62,0,5.51121615511e-12,2.79071290404e-13
63,0,5.48305912586e-12,2.78360165326e-13
64,0,5.5393882486e-12,2.79781370583e-13
65,0,5.2568406192e-12,2.72554502284e-13
66,0,5.46887354423e-12,2.77998477753e-13
67,0,5.58188296994e-12,2.80855027369e-13
68,0,5.73722633379e-12,2.84733777082e-13
69,0,5.04472476061e-12,2.66995162058e-13
70,0,5.04480679746e-12,2.66999503367e-13
71,0,5.39809484544e-12,2.76190574182e-13
72,0,5.69502412293e-12,2.83689371616e-13
73,0,4.23947267213e-12,2.44766080901e-13
74,0,5.0027009142e-12,2.65890563097e-13
75,0,5.6100874071e-12,2.81562228552e-13
76,0,5.52530755417e-12,2.7942682792e-13
77,0,5.39816443349e-12,2.76194134513e-13
78,0,5.24287774554e-12,2.72196661686e-13
79,0,5.80782728321e-12,2.86479006767e-13
80,0,5.35589294337e-12,2.75113753389e-13
81,0,5.21431870711e-12,2.714466027e-13
82,0,5.36988488858e-12,2.75469295446e-13
83,0,5.25675842075e-12,2.72550240424e-13
84,0,5.68079483833e-12,2.83332306696e-13
85,0,5.31335856727e-12,2.74015557541e-13
86,0,5.69500270202e-12,2.83688303321e-13
87,0,4.9884232618e-12,2.65506991315e-13
88,0,5.08727461899e-12,2.68122926754e-13
89,0,5.68075335921e-12,2.83330239637e-13
90,0,5.00245547038e-12,2.65877520744e-13
91,0,5.29932814699e-12,2.73656140837e-13
92,0,5.27098965773e-12,2.72921511947e-13
93,0,5.17202850229e-12,2.70346273341e-13
94,0,5.55368023991e-12,2.80146123852e-13
95,0,5.68065797325e-12,2.8332548293e-13
96,0,5.55360298806e-12,2.80142226811e-13
97,0,5.15776924859e-12,2.69969995893e-13
98,0,5.05888893514e-12,2.67370601764e-13
99,0,5.68074278137e-12,2.83329712073e-13
100,0,5.75129568747e-12,2.85081157253e-13
101,0,5.56777822745e-12,2.80500627857e-13
102,0,4.96006968849e-12,2.64748946792e-13
103,0,5.31336323256e-12,2.74015800913e-13
